recipe,type
"3 tbsp olive oil 2 large onions, thinly sliced 2 red peppers, cut into long slices 2 green peppers, cut into long slices 4 garlic cloves, finely chopped ½ tsp cumin seeds ½ tsp caraway seeds ½ tsp cayenne pepper 1 tbsp tomato or red pepper purée 2 x 400g tins tomatoes 1 small bunch fresh coriander, roughly chopped 1 small bunch fresh parsley, roughly chopped 8 free-range eggs 85g/3oz feta, crumbled 8 tbsp thick natural yoghurt or labneh salt and freshly ground black pepper ",north_african
"2 red peppers, thinly sliced 2 yellow peppers, thinly sliced 1 red onion, thickly sliced 1 aubergine, sliced into 15mm/⅝in strips 800g/1lb12oz vine tomatoes, quartered 1 red chilli, roughly chopped 1 tsp ground cumin 1 tsp smoked paprika 2 tbsp olive oil 4 free-range eggs sea salt and freshly ground black pepper handful fresh coriander, roughly chopped, to serve flatbreads or pitta breads, warmed, to serve ",north_african
"500g/1lb 2oz potatoes, halved then cut into 5cm/2in chunks salt and freshly ground black pepper 1 onion, sliced 4 whole chicken legs, each slashed four times on the skin side 1 tbsp vegetable oil 1 unwaxed lemon 2 fat garlic cloves, crushed 1 tbsp ras el hanout spice mix 400ml/14fl oz good quality chicken stock (or a mix of white wine and stock) 85g/3oz stone-in green olives in extra virgin olive oil (drained weight) 2 tsp clear honey handful fresh flat-leaf parsley Greek-style yogurt, to serve  ",north_african
"400g/14oz can chickpeas in water, rinsed and drained 1 red pepper, deseeded and thickly sliced 1 onion, chopped 1 small butternut squash, peeled, deseeded and cut into bite-sized pieces 2 courgettes, cut into bite-sized pieces 12 dried apricots salt and freshly ground black pepper 2 tbsp extra virgin olive oil, plus a drizzle to serve  2 garlic cloves, crushed 2 tsp paprika 1 tsp ground ginger 1 tsp ground cumin 500g/1lb 2oz carton passata 2 tsp honey, plus a drizzle to serve 1 tsp harissa paste handful fresh mint or coriander thick Greek-style yoghurt, to serve  ",north_african
"600g/1lb 5oz lamb neck fillet, trimmed of any excess fat and cut into 3cm chunks 2 tbsp harissa paste 3 garlic cloves, finely chopped or grated 1 tsp ground cumin 1 tsp ground coriander 1 tsp ground cinnamon 1 tsp smoked paprika 1 onion, roughly chopped 90g/3¼oz dried apricots, roughly chopped 90g/3¼oz drained pitted green olives 1 x 400g tin chopped tomatoes 1 x 400g tin chickpeas, drained and rinsed 500g/1lb 2oz sweet potatoes, peeled and cut into chunks 350ml/12fl oz chicken stock, from a cube 90g/3¼oz low-fat plain yoghurt 1 small bunch coriander, roughly chopped ½ tsp sea salt freshly ground black pepper 200g/7oz couscous 1 lemon, zest and juice 1 tsp ground cumin 1 tsp sweet smoked paprika 1 red onion, finely chopped 2 green peppers, deseeded and roughly chopped ½ chicken stock cube 250g/9oz cherry tomatoes, halved, quartered if large 1 small bunch mint, leaves picked and roughly chopped ",north_african
"2 tsp ground cinnamon 1 tsp ground turmeric 1 tsp coriander seeds  ½ tsp freshly ground black pepper ¼ tsp freshly grated nutmeg, or to taste ¼ tsp freshly ground cardamom seeds ¼ tsp freshly ground cloves 2-3 tbsp olive oil 2 garlic cloves, peeled, finely chopped  3 onions, peeled, finely sliced  1 tsp cumin seeds  2 tsp freshly ground ras-el-hanout (see above) ½ tsp cayenne pepper 3 ripe tomatoes, seeds removed, roughly chopped salt and freshly ground black pepper 110ml/4fl oz fish stock or water 4-6 plaice fillets, skin removed 200g/7oz couscous 1 tbsp olive oil ½ lemon, juice only 250ml/9fl oz boiling water 50g/2oz pistachio nuts, roughly chopped 4 tbsp pomegranate seeds 2 tbsp chopped fresh coriander leaves salt and freshly ground black pepper 1 lemon, juice only 4 fresh coriander sprigs, leaves only ",north_african
"6 red chillies, roughly chopped 10 garlic cloves large bunch fresh coriander, stalks and leaves separated 2 lemons, zest and juice only  100ml/3½fl oz olive oil 200g/7oz sirloin or rump steak  100g/3½oz couscous 1 tsp cumin seeds 1 tsp coriander seeds 2 peppers, roasted and skinned 100g/3½oz green olives ",north_african
"½ a leg of mutton or a kilo of stewing lamb 250g/9oz hunza apricots, or organic, unsulphured dried apricots 2 tbsp olive or sunflower oil 3 cloves garlic, crushed  2 large onions, peeled and sliced 3 large carrots , peeled and cut into 2cm/¾in chunks 2 cinnamon sticks 2 tsp ground cumin  1 tbsp whole coriander seeds, lightly crushed 6 cardamom pods, lightly crushed a few small pieces dried ginger root (or1 tsp powdered) pinch of mace lamb/mutton stock or beef stock, in a pinch 1 glass white wine 125g/4½oz good fruit chutney salt and freshly black pepper boiled rice, cooked to packet instructions 5g/1 tsp whole cumin or caraway seeds ",north_african
"250g/9oz plain flour, plus extra for dusting  pinch salt  1tbsp olive oil  1 tbsp olive oil  1 onion, chopped  1 green pepper, deseeded and sliced 1 garlic clove, sliced  ½ tsp crushed chilli flakes  2 x 400g/14oz tins chopped tomatoes  salt and black pepper  6 eggs  100g/3½oz feta cheese or Greek-style cheese, crumbled  ",north_african
"1 sweet potato (about 300g/10½oz), peeled and cut into roughly 2cm/¾in chunks 1 aubergine, cut into roughly 2.5cm/1in chunks 2 courgettes, halved lengthways, sliced into 2cm/¾in half-moons 1 red pepper, stalk removed, seeds removed, cut into roughly 2.5cm/1in chunks 3 tbsp mild olive oil or sunflower oil 1 small onion, thinly sliced 4 garlic cloves, thinly sliced 1 tsp ground coriander 1 tsp ground cumin 400g tin chopped tomatoes 1 tbsp harissa paste 2 tbsp clear honey 100g/3½oz ready-to-eat dried apricots, halved 400g tin chickpeas, rinsed and drained handful chopped fresh coriander, to garnish salt and freshly ground black pepper ",north_african
"4 lamb chops 1 tbsp turmeric 1 tbsp cumin seeds 1 tsp dried ginger 1 tsp paprika 1 tbsp coriander seeds 1 tsp chilli powder salt freshly ground black pepper 100g/3½oz bulgar wheat, cooked bunch of coriander bunch of basil bunch of mint 2 lemons, zest and juice 1 roasted skinned red pepper 50g/2oz green olives 1 tbsp capers 100g/3½oz cherry tomatoes, diced 50ml/2fl oz olive oil ",north_african
"2 sprigs of fresh rosemary, leaves only 2 garlic cloves, finely chopped 2 tbsp olive oil, plus extra for frying 1 tsp smoked paprika large pinch saffron 2 oranges, zest only 8 large king prawns, raw, shell-on 300ml/10fl oz chicken stock, hot 150g/5½oz couscous 100g/3½oz pumpkin, peeled and chopped into small dice ½ fennel bulb, core removed and chopped 1 stick celery, chopped 4 spring onions, chopped handful spinach 1 fresh red chilli ½ a bunch of fresh mint  1 lemon 2 tbsp natural yoghurt 1 pomegranate, seeds only salt and freshly ground black pepper ",north_african
"750g/1lb new potatoes, scraped clean   2 tbsp olive oil 1 onion, sliced 2 celery sticks, sliced 1 fresh bay leaf 3 tbsp white wine vinegar 2 tsp salt 6 black peppercorns 1.2 litres/2 pints water 2 x 450g/1lb prepared skate wings pinch of saffron strands 2 plum tomatoes, skinned, seeded and diced ¼ tsp crushed coriander seeds pinch of ground cumin 1 small roasted red pepper skinned, seeded and cut into thin strips 1 medium-hot Dutch red chilli, seeded and finely chopped 2 garlic cloves, finely chopped 150ml/5fl oz extra virgin olive  1 tbsp lemon juice salt and freshly ground black pepper 2 tsp each of shredded coriander and mint 85ml/3fl oz extra virgin olive oil, plus extra to serve 50g/2oz watercress sprigs, very roughly chopped. balsamic vinegar sea-salt flakes coarsely crushed black pepper ",north_african
